round,target_epoch,steps_per_epoch,updates_accumulated,candidate_id,lr,dropout,activation,hidden_dims,batch_size,weight_decay,pos_weight,pr_auc,roc_auc,f1,precision,recall,lift_at_10,threshold_f1,base_rate,top10_positive_rate,val_loss,duration_seconds
3,40,125,5000,330,0.004512971190089239,0.2059764737479408,relu,"[256, 256, 32]",16384,1.209876356320391e-07,1.0,0.5387374292014004,0.7756519713266448,0.5137105764735498,0.4741825726141079,0.560428027776688,3.249931287021469,0.2560136318206787,0.20000000298023224,0.6499862670898438,0.4085704271746316,14.90242886543274
3,40,125,5000,824,0.004715381599833196,0.16584763033094269,leaky_relu,"[256, 128, 64]",16384,1.7115256105042944e-06,2.0,0.538623660628702,0.775945592058694,0.5142375288478608,0.4696183651632567,0.5682255090431166,3.249146591884694,0.4179820120334625,0.20000000298023224,0.6498293280601501,0.6199643574745378,15.174590110778809
3,40,125,5000,98,0.00790222061659122,0.11459560922858276,relu,"[256, 256]",16384,1.608718759331238e-07,1.0,0.538486214440888,0.775673920923154,0.5139951814058957,0.4685874866759262,0.5691474753815371,3.247479151971949,0.26142409443855286,0.20000000298023224,0.6494958400726318,0.4089680616962909,12.054115295410156
3,40,63,2520,138,0.008719796893450125,0.058454101121652516,relu,"[64, 128, 64, 64]",32768,1.3475886236935304e-06,1.0,0.5384675841279734,0.7758355379441548,0.513882632745356,0.47515993602558976,0.5594766369806583,3.252088975130186,0.2549143433570862,0.20000000298023224,0.6504178047180176,0.4085813947540804,9.711581468582153
3,40,63,2520,660,0.005102995266548861,0.1434023498185529,leaky_relu,"[256, 256, 128, 32]",32768,5.966817221958591e-06,2.0,0.5383236662558223,0.7756077814056355,0.5137199833964797,0.46720534609885783,0.5705206167366315,3.251108180715022,0.40798255801200867,0.20000000298023224,0.6502216458320618,0.6197556417127463,9.772704839706421
3,40,125,5000,788,0.001265614220539916,0.14555009746691527,relu,"[256, 128, 128, 32]",16384,6.455525951233068e-07,2.0,0.538307070182047,0.7755446530037402,0.5138629656578073,0.47647862416922987,0.5576130879987445,3.246792804497588,0.4122130572795868,0.20000000298023224,0.6493585705757141,0.6194624964783717,18.772891759872437
3,40,63,2520,976,0.0019831454816419147,0.17016914831794105,relu,"[128, 256, 32, 32]",32768,1.356856699548968e-05,2.0,0.5382289874231871,0.7753302461793877,0.5137102688393225,0.47208889473338156,0.5633802816901409,3.2486563436887215,0.4015430212020874,0.20000000298023224,0.6497312784194946,0.621286766245383,9.506080389022827
3,40,125,5000,224,0.0009891269273199538,0.18597866332380486,leaky_relu,"[256, 256, 64, 64]",16384,1.5342570245214055e-05,2.0,0.5380108251373317,0.7751893908550225,0.5139378722674048,0.4762283351884242,0.5581329200831732,3.2483618967479186,0.40726181864738464,0.20000000298023224,0.6496723890304565,0.6198125983103937,18.254117250442505
3,40,125,5000,817,0.004057439498603711,0.13723698674466572,leaky_relu,"[128, 256, 32]",16384,6.27658680656254e-06,1.0,0.5379813109226126,0.7751472993414761,0.5131870840522553,0.4724828559403857,0.561565773470909,3.2469889037759767,0.2595510184764862,0.20000000298023224,0.6493977904319763,0.4092971178837946,15.037316083908081
3,40,125,5000,161,0.004751585460750109,0.05911102627406577,leaky_relu,"[64, 64, 32]",16384,4.936237158074946e-06,2.0,0.5378572671958624,0.7756156078411348,0.5136208247275835,0.4702037489812551,0.5658715524343835,3.249440740802277,0.40696078538894653,0.20000000298023224,0.6498881578445435,0.6197461394209688,15.025291919708252
3,40,125,5000,235,0.0014250139127569583,0.30374432025486164,relu,"[256, 256, 64]",16384,2.5084688755463935e-06,1.0,0.5378395462489105,0.7751396055776036,0.5139325842696629,0.47430813644810194,0.560781121267998,3.2446348183656513,0.2600417733192444,0.20000000298023224,0.6489269733428955,0.4089163383728918,14.997073411941528
3,40,125,5000,59,0.0007626239252959497,0.15305977555506683,relu,"[256, 256, 64, 64]",16384,1.8966550977696662e-05,2.0,0.5377362065384551,0.7751426597186125,0.5134637524694372,0.47257015164133814,0.5621052218604103,3.2462042086392016,0.40679195523262024,0.20000000298023224,0.6492408514022827,0.6198702358887107,18.30277729034424
3,40,32,1280,215,0.006630245464222379,0.26717108461389116,relu,"[256, 128, 256, 64]",65536,1.4562972555768048e-07,1.0,0.5377288920192994,0.7750750746299051,0.5139056236142527,0.4729305270447407,0.5626544784024481,3.243850123228876,0.25565236806869507,0.20000000298023224,0.6487700343132019,0.40903013914319597,5.696217775344849
3,40,63,2520,491,0.0040764999123570605,0.1256144670895113,leaky_relu,"[64, 256, 256, 32]",32768,1.3173418129273819e-05,1.0,0.5377143875956668,0.7749589124497976,0.5137420622438607,0.4799373120853101,0.5526697791204049,3.246792804497588,0.25864696502685547,0.20000000298023224,0.6493585705757141,0.40898342523977416,9.445444822311401
3,40,125,5000,864,0.0014410570737410262,0.26253880683012404,relu,"[128, 256, 128]",16384,2.1652247566559845e-05,4.0,0.5376228707994912,0.7750211720707918,0.5137222352537847,0.4755946812775625,0.5584958217270195,3.2473811023327546,0.5891344547271729,0.20000000298023224,0.6494762301445007,0.9026563771868505,15.311861276626587
3,40,63,2520,860,0.0020634687080419447,0.23954622386957508,relu,"[128, 256, 256, 32]",32768,6.443462475395991e-06,1.0,0.5375708920053586,0.7751633966558099,0.5134001775321285,0.4632106363672229,0.575787594648672,3.2415943854809646,0.24379722774028778,0.20000000298023224,0.648318886756897,0.40899989566365597,9.488006591796875
3,40,63,2520,931,0.004583756515258595,0.3381731075626976,leaky_relu,"[256, 256, 128]",32768,4.384955740024873e-06,1.0,0.5375016238078464,0.7750976926951652,0.5137078104057512,0.47575501742830156,0.5582408097610734,3.2440465205304845,0.25069597363471985,0.20000000298023224,0.6488093137741089,0.40896845240124147,7.955052375793457
3,40,63,2520,24,0.002145039422706095,0.21549372983027976,relu,"[128, 128, 32]",32768,4.072031106841297e-05,4.0,0.537395014921649,0.7750308600817328,0.5138414899796689,0.47816649211122,0.5552689395425477,3.2456156127808153,0.5888727903366089,0.20000000298023224,0.6491231322288513,0.9024831893197215,7.928070306777954
3,40,63,2520,563,0.00276073972281858,0.31171438377165017,relu,"[256, 128, 256, 32]",32768,1.1319303402696327e-07,1.0,0.5373930677493808,0.7750569615317601,0.5137553448513675,0.4701652374321012,0.5662540703833026,3.2437520735896817,0.2517109811306,0.20000000298023224,0.6487504243850708,0.4090444232572958,9.447651624679565
3,40,125,5000,827,0.003061980820985245,0.16822026761941372,relu,"[128, 32, 256, 64]",16384,5.1061452453543256e-06,4.0,0.5373570013818518,0.7751089521548068,0.5132551682995663,0.48226528341913955,0.5485013142924399,3.2464003079175905,0.5866269469261169,0.20000000298023224,0.6492800712585449,0.9042629704885473,18.328341960906982
3,40,63,2520,47,0.003407035383710923,0.1964007710948773,relu,"[128, 64, 32, 32]",32768,2.645776459778152e-06,4.0,0.5371393599889275,0.7749271814443118,0.5136533436223013,0.46444655883285757,0.5745223429714779,3.2440465205304845,0.5723145008087158,0.20000000298023224,0.6488093137741089,0.9033836282568432,9.556832075119019
3,40,125,5000,346,0.0024358508109955305,0.11773789589214874,leaky_relu,"[64, 256, 32]",16384,6.755828781708721e-05,4.0,0.5370265483961189,0.7749890520451127,0.5132884430397142,0.4815305017446757,0.5495311703087606,3.2458120100824237,0.6061862111091614,0.20000000298023224,0.6491624116897583,0.9026769880114047,15.262418508529663
3,40,63,2520,630,0.008937504190259873,0.14758273439551461,leaky_relu,"[32, 128, 256, 256]",32768,2.3191300707947566e-06,2.0,0.5369626118793155,0.7746369343089439,0.5127406480581771,0.46814664776179865,0.5667248617050492,3.240711640704995,0.4110410511493683,0.20000000298023224,0.6481423377990723,0.6208953669298588,9.417267322540283
3,40,125,5000,865,0.000552765678808222,0.07445672414755766,leaky_relu,"[64, 256, 64]",16384,5.215790000200418e-07,2.0,0.536934935922394,0.7749651353659691,0.5135617013401461,0.47570388085661486,0.5579661814900545,3.2435559743112927,0.40973907709121704,0.20000000298023224,0.6487112045288086,0.6201513353113036,15.124080419540405
