feature,gain_abs,gain_pct,split_abs,split_pct,rank,acum_gain_pct,corr_target
Ciclos_cv,3447645.8307647705,31.27,489,2.59,1,31.27,-0.3494
ciclo_dias_mu,1859497.650256157,16.87,1367,7.23,2,48.14,0.1014
total_compras_12m,1540199.4142065048,13.97,364,1.93,3,62.11,0.3254
dias_desde_ultima_compra,1441626.8272891045,13.08,2568,13.59,4,75.19,-0.2724
Sow_transacciones_netas,1200449.724313736,10.89,860,4.55,5,86.08,0.2989
ticket_promedio,337534.3672132492,3.06,2762,14.61,6,89.14,-0.0115
n_subcats_familia,331420.0201435089,3.01,2478,13.11,7,92.15,0.0187
avg_unidades,313978.902507782,2.85,1860,9.84,8,95.0,0.0937
sow_24m,161417.8553609848,1.46,1282,6.78,9,96.46,0.1959
Debug_ciclos_ciclo_binario,151920.1792049408,1.38,146,0.77,10,97.84,0.3438
score_final,72870.77401065826,0.66,733,3.88,11,98.5,0.2897
Ciclos_CODIGO_FAMILIA,57523.13836956024,0.52,1864,9.86,12,99.02,0.0074
ratio_ultimo_vs_prom,22075.109397411346,0.2,776,4.11,13,99.22,-0.0156
tipo_no_ciclico,21273.885913848877,0.19,29,0.15,14,99.41,
Seasonality_compras_actual,16398.92206144333,0.15,113,0.6,15,99.56,0.2436
recencia_hl,9822.133267402649,0.09,241,1.28,16,99.65,0.2328
l_compra_sobre_ciclo,8610.101234436035,0.08,268,1.42,17,99.73,0.044
Freq_periodo_revision,7100.881258964539,0.06,77,0.41,18,99.79,0.1655
cv_invertido,5738.799775600433,0.05,244,1.29,19,99.84,0.2479
tipo_mediano,4421.990956783295,0.04,19,0.1,20,99.88,
tipo_largo,3648.8189668655396,0.03,29,0.15,21,99.91,
compras_reales,3805.5981645584106,0.03,118,0.62,22,99.94,0.2812
Recencia_recencia,2419.988308429718,0.02,50,0.26,23,99.96,0.2328
season_ratio,754.7680702209473,0.01,37,0.2,24,99.97,0.2622
Seasonality_compras_pasado,1505.590226650238,0.01,64,0.34,25,99.98,0.2377
ratio_temporal,968.9225940704346,0.01,33,0.17,26,99.99,0.1279
freq_media,62.40910053253174,0.0,4,0.02,27,99.99,0.2319
freq_alta,438.06841468811035,0.0,10,0.05,28,99.99,0.0892
freq_baja,138.42600059509277,0.0,8,0.04,29,99.99,0.2688
Recencia_castigo_recencia,0.0,0.0,0,0.0,30,99.99,
Ciclos_ciclo_binario_c,0.0,0.0,0,0.0,31,99.99,0.2848
tipo_corto_medio,118.32236003875732,0.0,7,0.04,32,99.99,
