feature,gain,split,gain_pct
Ciclos_cv,2131365.620211065,2958,0.30083007570855236
total_compras_12m,1766169.490695715,1616,0.24928472926550818
dias_desde_ultima_compra,783433.0460138321,8191,0.11057709682001154
Sow_transacciones_netas,763903.5226649046,4440,0.10782061621813903
ciclo_dias_mu,674335.4187738895,5849,0.09517859027050397
avg_unidades,198937.0046042204,8014,0.02807882119746015
n_subcats_familia,191300.27660310268,8235,0.027000940686975814
ticket_promedio,181825.67137908936,9482,0.025663654310663562
sow_24m,129323.44022411108,5134,0.01825326445382804
Debug_ciclos_ciclo_binario,74327.38245820999,351,0.010490885224050664
score_final,42702.73777371645,3464,0.006027247373989938
ratio_ultimo_vs_prom,40110.90011173487,4642,0.005661424301362454
l_compra_sobre_ciclo,19112.658352077007,1856,0.002697642490112815
Seasonality_compras_actual,18921.558156251907,496,0.0026706697896841146
recencia_hl,17873.16226398945,1769,0.002522694701481923
cv_invertido,13052.642315089703,1790,0.0018423058618428137
tipo_no_ciclico,6587.74166727066,58,0.0009298220848270813
compras_reales,6156.05130815506,707,0.0008688914579163695
Freq_periodo_revision,5615.910155057907,168,0.0007926536212736681
tipo_mediano,4765.529333114624,47,0.0006726272285138161
Seasonality_compras_pasado,4328.702630400658,388,0.0006109716360603981
Recencia_recencia,3438.916353702545,374,0.0004853833885794161
tipo_largo,2697.2991530895233,75,0.00038070835934389394
ratio_temporal,2028.6254661083221,195,0.00028632889015692666
season_ratio,1826.4279699325562,203,0.0002577898692091215
freq_alta,470.45741605758667,16,6.640237542925109e-05
tipo_corto_medio,285.06723070144653,19,4.023561034331181e-05
freq_baja,29.607980728149414,3,4.178997258642329e-06
freq_media,23.719039916992188,3,3.3478069207367294e-06
Ciclos_ciclo_binario_c,0.0,0,0.0
